DRUG_COSMICID,pred_norm_cells_0,pred_norm_cells_1,pred_norm_cells_2,pred_norm_cells_3,pred_norm_cells_4,pred_norm_cells_5,pred_norm_cells_6,pred_norm_cells_7,pred_norm_cells_8,pred_norm_cells_9
200_687819,0.99999976,0.98592585,0.8760542,0.8867471,0.57488054,0.4272331,0.27424738,0.26765063,0.2786566,0.25645378
1012_753594,0.99999976,0.9779794,0.92692214,0.84275675,0.6833294,0.487992,0.31365022,0.24266058,0.1369456,0.11640754
1024_905965,0.99999976,0.9731607,0.8955433,0.7833491,0.6420933,0.48005596,0.3291372,0.19571614,0.12554283,0.10607719
1149_1247871,0.99999976,0.9760552,0.89763325,0.77894944,0.60658574,0.4227867,0.2743536,0.11434194,0.08976083,0.09385519
173_907280,0.99999976,0.9737459,0.9107585,0.8240335,0.7118558,0.58065546,0.44078434,0.25231925,0.1960128,0.17041717
53_1330982,0.99999976,0.9711353,0.9248078,0.78859276,0.68455416,0.4364732,0.24972315,0.10754841,0.056116085,0.04346631
180_905955,0.99999976,0.97531825,0.94850266,0.870611,0.81995463,0.69346726,0.43600833,0.33711344,0.31100824,0.2970593
167_753576,0.99999976,0.97184455,0.9197975,0.78629184,0.60970217,0.34137154,0.27171066,0.25034192,0.19779183,0.17088014
182_722058,0.99999976,0.97210824,0.8800944,0.79455036,0.6323008,0.4937268,0.31442174,0.19538485,0.11975454,0.10365403
200_909756,0.99999976,0.97943723,0.9055679,0.89056826,0.66872805,0.429994,0.23804134,0.17214723,0.11665344,0.10559341
274_1303900,0.99999976,0.9693902,0.9013094,0.7667865,0.56057066,0.39993882,0.11520944,0.11330162,0.08646931,0.07858266
1031_909738,0.99999976,0.983822,0.8192719,0.6701065,0.5824891,0.48611182,0.28049815,0.18557566,0.13684952,0.10596548
201_713899,0.99999976,0.9782877,0.92985195,0.87556636,0.7391375,0.40961036,0.2550287,0.13862392,0.09121609,0.080227
200_906869,0.99999976,0.962926,0.7769716,0.57591873,0.49318218,0.41652438,0.2996537,0.22181307,0.15428379,0.17766535
273_907058,0.99999976,0.98337555,0.930414,0.79688865,0.6376,0.4250934,0.25682414,0.1974324,0.07247947,0.13843949
308_1503361,0.99999976,0.976342,0.85049784,0.7045482,0.5987034,0.42602414,0.25913692,0.1742624,0.17138812,0.14204983
182_1240154,0.99999976,0.973571,0.89662206,0.8074961,0.5583193,0.5427252,0.41926315,0.25493598,0.12772916,0.105314255
170_909260,0.99999976,0.9751075,0.92296565,0.8829838,0.77620655,0.60573256,0.3435033,0.20514983,0.101582214,0.083822235
179_907277,0.99999976,0.97015876,0.89994293,0.72207487,0.5839514,0.4199742,0.23762242,0.16289532,0.1006464,0.07917673
229_1323913,0.99999976,0.97183037,0.92124563,0.80088353,0.57233286,0.40156704,0.36929837,0.21415982,0.10003636,0.09557379
201_909761,0.99999976,0.97919905,0.95238936,0.85979986,0.7255531,0.5623481,0.43287608,0.25476435,0.19674726,0.16748774
200_1240160,0.99999976,0.97578883,0.9397305,0.72734684,0.47123364,0.44079348,0.2328481,0.16182707,0.07995099,0.09906886
276_909256,0.99999976,0.98124987,0.9101391,0.77196944,0.5780395,0.42350972,0.3439046,0.27979663,0.09022207,0.082755536
203_949166,0.99999976,0.967743,0.92510223,0.87055355,0.76608676,0.6176801,0.46131426,0.36808267,0.25781044,0.27133122
133_1240216,0.99999976,0.978949,0.8122461,0.77076226,0.65169436,0.56298804,0.504423,0.15846252,0.12523982,0.107788175
346_753556,0.99999976,0.9699342,0.86487967,0.7520823,0.55819774,0.46364513,0.29110983,0.2031114,0.113353685,0.107149675
1004_907799,0.99999976,0.9696291,0.9041509,0.7524311,0.7507072,0.6390388,0.33117118,0.09798761,0.06905718,0.058058493
167_724834,0.99999976,0.9779847,0.9233489,0.89800304,0.6830332,0.5137705,0.39966482,0.2910403,0.25821012,0.2401074
346_753538,0.99999976,0.9706795,0.91749734,0.81275123,0.6978243,0.50364494,0.2523175,0.17856264,0.09911946,0.10369827
235_910687,0.99999976,0.9709591,0.9274252,0.8311539,0.5993413,0.33574468,0.35670826,0.2085937,0.071900606,0.077426545
157_1322218,0.99999976,0.97727096,0.8921566,0.7950037,0.667724,0.4952376,0.34206915,0.21925159,0.14457601,0.12858266
194_924238,0.99999976,0.9622296,0.87484765,0.7699457,0.65341,0.49730822,0.3426399,0.24921083,0.21205194,0.18002273
170_753608,0.99999976,0.9699873,0.8661989,0.83282393,0.6860526,0.5500092,0.309444,0.17727605,0.12526387,0.1220965
228_909743,0.99999976,0.97094244,0.92360896,0.8114615,0.62266356,0.49267486,0.3771135,0.28143623,0.2308761,0.23119533
172_906833,0.99999976,0.98413527,0.5356684,0.53120226,0.2822543,0.21231776,0.11726064,0.10974189,0.086818464,0.08618576
274_1240166,0.99999976,0.9750998,0.89376324,0.7574849,0.6132908,0.5150196,0.3790734,0.20111729,0.11151366,0.09620903
302_753539,0.99999976,0.9746795,0.9094154,0.7803294,0.6237962,0.46479267,0.3180098,0.19357169,0.13065323,0.12681736
274_1330941,0.99999976,0.97267884,0.91686374,0.89892876,0.85173774,0.7660104,0.5357071,0.3446883,0.16855597,0.15948263
273_907287,0.99999976,0.9885479,0.8609195,0.80408055,0.7718226,0.6611888,0.5490115,0.25961939,0.17696989,0.1377296
203_1331033,0.99999976,0.9638221,0.5980457,0.43511254,0.27984762,0.2487481,0.17845272,0.1381347,0.06933274,0.086400315
86_749713,0.99999976,0.9862252,0.9214112,0.8084196,0.65319765,0.44396532,0.27913645,0.16935608,0.14169866,0.13882276
159_906854,0.99999976,0.9729648,0.90438163,0.79283774,0.6530518,0.43223244,0.38043097,0.23797904,0.13102919,0.09224258
273_909784,0.99999976,0.9714774,0.922398,0.860482,0.77413696,0.66523474,0.30040154,0.17983036,0.05704665,0.07709151
1031_1298475,0.99999976,0.9754795,0.89673734,0.7792004,0.6042864,0.4891925,0.32738492,0.22479808,0.19912998,0.18312125
165_909759,0.99999976,0.9735407,0.9271522,0.8277648,0.67891115,0.5656741,0.3689883,0.21168016,0.17495887,0.14933673
9_907053,0.99999976,0.9709626,0.91811025,0.80469203,0.7228705,0.5440941,0.29927045,0.15798666,0.07716605,0.056550052
200_908125,0.99999976,0.97247493,0.8682315,0.7824657,0.6125219,0.47989565,0.3152924,0.22425523,0.1040551,0.10134976
167_909700,0.99999976,0.9793175,0.9300968,0.80909234,0.6507733,0.43117198,0.31367743,0.16063292,0.12078741,0.07280651
41_687799,0.99999976,0.97995514,0.75312656,0.8223601,0.4529886,0.5027161,0.29296103,0.19080484,0.14689635,0.13833858
53_1297447,0.99999976,0.9768123,0.92554337,0.8268269,0.6979417,0.54947937,0.2805826,0.21101137,0.1483413,0.108526826
60_1327768,0.99999976,0.9718717,0.9172554,0.78313625,0.6951096,0.43919367,0.26116583,0.14070742,0.09806934,0.09009126
272_688006,0.99999976,0.9824764,0.9444748,0.8208074,0.5442283,0.35865408,0.2761222,0.10355287,0.07376667,0.06964239
201_753548,0.99999976,0.9699413,0.93492115,0.8542806,0.7298954,0.4739144,0.2382648,0.10165583,0.095133185,0.0824797
344_1524416,0.99999976,0.9736125,0.888856,0.8094783,0.6861917,0.52941525,0.35940978,0.2170907,0.14147529,0.14681697
235_907268,0.99999976,0.96709144,0.9044609,0.8101903,0.66452533,0.46594608,0.3271522,0.22296171,0.16012341,0.15713349
88_1330985,0.99999976,0.9778299,0.92717594,0.87191725,0.7294195,0.57616186,0.3424071,0.124133244,0.10708884,0.08050294
182_910903,0.99999976,0.9756721,0.8562327,0.61910385,0.5547027,0.32195282,0.25556934,0.1451546,0.088088125,0.080783494
170_907271,0.99999976,0.97422796,0.8584699,0.68634504,0.6683657,0.6311499,0.40268224,0.27987346,0.23118061,0.22625364
