DRUG_COSMICID,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,param_1,param_2,param_3,param_4
346_687997,1,0.969512706,0.916396356,0.555426531,0.47438843,0.41454153,0.408907375,0.375239062,0.367572946,0.318506685,0.273560117,1.626132569,-20.44835688,0.384772033
180_908156,1,0.955576695,0.877491984,0.731748062,0.253719201,0.018177144,0.005245217,0.03800594,0.002796242,-0.003892356,0.387366488,1.043137538,-19.06909033,0.003825287
328_909704,1,0.965426449,0.796799843,0.506532352,0.272963383,0.247728285,0.196594849,0.204589361,0.201162615,0.206439067,0.279760409,1.234981158,-14.37034973,0.204461746
194_753570,1,0.965290182,0.937924188,0.907552803,0.87781636,0.868002981,0.487672816,0.359569771,0.250451488,0.290078914,0.615142672,1.516418943,-21.12363118,0.284755759
1015_971777,1,0.993719958,0.889531778,0.804396037,0.536359542,0.490529146,0.385233524,0.339593608,0.314888784,0.282135068,0.36016831,1.345063702,-8.183707545,0.299658424
1026_1480367,1,0.990412816,0.912717955,0.674361461,0.553587402,0.499184282,0.338816738,0.333866779,0.298043807,0.305674608,0.327507426,1.287458579,-7.560178358,0.296212881
200_687588,1,0.995077255,0.957112545,0.951638623,0.654487101,0.790247169,0.587639802,0.46481655,0.134787496,0.09022263,0.705934249,1.013891664,-6.724187908,2.73E-19
170_1330982,1,0.980177013,0.924027644,0.369464527,0.005314854,0.00280627,0.004124494,0.004005763,0.002407453,0.002914346,0.314993867,1.011231828,-29.51015035,0.00018121
83_713878,1,0.992910536,0.90073401,0.72870934,0.630434701,0.537472398,0.442498026,0.385280289,0.364502413,0.374416312,0.325717426,1.392472239,-6.797596106,0.353815619
274_1240138,1,0.969606241,0.98894598,0.871560561,0.730380824,0.56240528,0.315126734,0.138331952,0.04321223,0.036729083,0.57318726,0.996096174,-8.536672633,2.38E-14
219_907281,1,0.955287035,0.894146928,0.787804331,0.436078615,0.108216457,0.021375871,0.004836283,0.00613508,0.00620987,0.426292388,1.031674223,-15.10166574,9.36E-24
1031_687505,1,0.994655556,0.840532657,0.800044143,0.558086154,0.259868307,0.119568115,0.077759897,0.024637385,0.013185586,0.455919062,1.0169167,-9.874857699,0.014357467
1031_910567,1,0.963151218,0.900085918,0.910417059,0.732000612,0.389097403,0.224700564,0.158483121,0.180838916,0.140763176,0.486543054,1.242561522,-15.41333702,0.157101033
208_905939,1,0.970746676,0.980260826,0.979695753,0.965162921,0.966859534,0.768958526,0.30289356,0.284816816,0.31350716,0.675319233,1.472644118,-49.29863993,0.29829883
182_1290797,1,0.968728673,0.964176759,0.91159274,0.816192996,0.714957943,0.647250558,0.202318091,0.010173107,0.007831946,0.686055154,1.063017805,-12.35107574,3.37E-34
9_908141,1,0.976367453,0.913327328,0.889901978,0.879754055,0.852672303,0.457777109,0.105680572,0.040943502,0.027660449,0.656879783,1.100387491,-20.0823834,0.027848949
272_906790,1,0.989775488,0.994343626,0.965897528,0.913444134,0.625796325,0.172605265,0.039485184,0.011473654,0.004830972,0.581946983,1.018073426,-18.51053844,0.007308442
274_1330941,1,0.955042315,0.925523791,0.788681934,0.637549062,0.312866686,0.125213795,0.101327408,0.08334308,0.080331153,0.465075557,1.102760174,-11.68193553,0.069186946
346_1240219,1,0.98547712,0.934978803,0.84477382,0.636257514,0.44176113,0.195490136,0.177965234,0.199093788,0.171474371,0.45677189,1.200823741,-11.10886459,0.162318401
165_1240149,1,0.963000824,0.892905261,0.736313726,0.607226944,0.262151504,0.183884729,0.174848558,0.078490112,0.059209725,0.438595017,1.075851784,-9.216746515,0.075257656
272_1480372,1,0.997914789,0.922900637,0.795079917,0.751772981,0.48443514,0.33818807,0.232949118,0.198214409,0.224606056,0.478383225,1.224124623,-8.772233864,0.185110489
272_1298168,1,0.99179064,0.989403649,0.970159303,0.974734368,0.852163935,0.485826686,0.18154813,0.077879295,0.045351959,0.655876629,1.062330383,-16.22251983,0.051085312
276_1240206,1,0.961386533,0.951084452,0.548740854,0.18372434,0.046585656,0.025275373,0.024647167,0.022682199,0.021725282,0.344813699,1.025666307,-18.50916296,0.02601805
180_1330985,1,0.989049884,0.968204902,0.939169003,0.768627605,0.396645753,0.163708928,0.150605786,0.111652425,0.10524764,0.501692894,1.145169672,-16.472795,0.114885115
328_907794,1,0.959675385,0.782215626,0.458910216,0.249001353,0.098364252,0.209461295,0.066451699,0.081364229,0.084580273,0.295033768,1.076359679,-12.56349058,0.100270024
133_749713,1,0.986888068,0.982369365,0.916509846,0.869932227,0.536640622,0.125305343,0.045851008,0.03602369,0.016366186,0.558842974,1.048470814,-18.26136445,0.021961147
134_1240196,1,0.99476206,0.99627387,0.902014703,0.617976314,0.353425221,0.172334203,0.13707327,0.040580889,0.025346736,0.482797225,1.028467234,-11.1424919,0.050618192
165_910849,1,0.958935138,0.773052792,0.555921688,0.528836931,0.612044791,0.589487626,0.499345538,0.026940745,0.025030441,0.537495747,0.893087719,-3.5002876,6.82E-24
182_684052,1,0.998013481,0.9528311,0.961803887,0.649976151,0.342964498,0.235796836,0.009538385,-0.006541447,-0.006580785,0.510304033,0.984284819,-11.06806893,3.24E-18
87_906838,1,0.999070016,0.938553988,0.936828093,0.922189065,0.756618312,0.44449639,0.340492924,0.339408754,0.369302941,0.562908619,1.606421337,-20.32840952,0.345083692
292_905965,1,0.988508796,0.99865069,0.879695871,0.977455345,0.641695739,0.203784413,0.005400573,0.016469474,0.017498009,0.590089753,1.030788306,-19.79806354,0.007794901
283_687448,1,0.988146423,0.932698188,0.892435173,0.855701712,0.705234929,0.584752431,0.457871344,0.387458065,0.358789741,0.549259813,1.46166935,-7.131723464,0.31362828
308_1331036,1,0.993011308,0.932319136,0.812656096,0.67100295,0.1628342,0.052543566,0.017782583,0.001659967,0.002145463,0.47588665,1.039311603,-17.09259743,0.002414592
268_1240131,1,0.967873992,0.959657162,0.924290308,0.892560436,0.643366173,0.445398163,0.19969534,0.064048043,0.032526994,0.636198288,1.015066779,-9.752485285,1.33E-21
200_924238,1,0.956088105,0.837929124,0.768575206,0.727583691,0.426833569,0.07047778,0.039456401,0.038329093,0.013434386,0.52415989,1.083875231,-12.68847664,0.001273143
172_907322,1,0.980432915,0.97137309,0.959962625,0.933612394,0.806764812,0.556710964,0.23937801,0.21488689,0.18057692,0.636856463,1.243972756,-14.95613082,0.17296175
180_910935,1,0.98173081,0.368904256,0.106894738,0.007094019,0.071750908,0.005584605,0.002769948,0.010729739,0.003784975,0.202208439,1.006121679,-30.12317152,0.02608368
53_907273,1,0.961259357,0.940394212,0.842701167,0.826590059,0.628247056,0.500999688,0.229041371,0.008628966,-0.000801294,0.64053961,1.045760369,-9.229342173,3.63E-24
272_908465,1,0.972328083,0.967018778,0.791413875,0.723982324,0.500470345,0.316427048,0.185212229,0.098556579,0.09156437,0.534583909,1.030185829,-7.427824406,0.046692752
276_1524416,1,0.964811474,0.94227972,0.966318945,0.894812908,0.65120647,0.440711886,0.067473725,0.014394054,0.010436941,0.626743773,1.027657593,-12.73174443,2.19E-21
300_909720,1,0.975821001,0.724433655,0.625142432,0.484876829,0.342457983,0.425244735,0.373669942,0.024364877,0.025530004,0.41792045,0.8,-3.76235476,9.91E-18
83_1327769,1,0.984296662,0.86668091,0.759738574,0.536904153,0.378833004,0.292160001,0.270455111,0.279751259,0.264456415,0.36231339,1.331326627,-10.1164158,0.26110159
245_1331039,1,0.976309113,0.984222,0.932948862,0.864554169,0.740467756,0.374531289,0.035267837,0.025551264,-0.001487873,0.627448731,1.033929845,-15.39995174,3.21E-24
135_906824,1,0.963934675,0.536423306,0.314424682,0.138833866,0.12857732,0.150014966,0.154676159,0.205096771,0.2163259,0.20599671,1.147119523,-18.23097585,0.169462484
173_910698,1,0.990005396,0.947671243,0.928874801,0.718377134,0.363964853,0.337900095,0.320714217,0.268760666,0.227734028,0.449241867,1.429945352,-19.87047998,0.281304688
274_907057,1,0.977895116,0.801210578,0.635268093,0.441197731,0.135719361,0.084720033,0.013643675,0.012021059,0.018642061,0.391500233,0.970975419,-9.015749513,1.61E-23
222_1331037,1,0.998356209,0.932317756,0.828377059,0.571232118,0.455232042,0.193364547,0.067818634,0.021855721,0.005582119,0.501237342,0.975741243,-8.311796091,9.52E-20
