,Property,Value,Source
0,Water Solubility,0.0169 mg/mL,ALOGPS
1,logP,4.22,ALOGPS
2,logP,4.18,ChemAxon
3,logS,-4.7,ALOGPS
4,pKa (Strongest Acidic),10.87,ChemAxon
5,pKa (Strongest Basic),8.86,ChemAxon
6,Physiological Charge,2,ChemAxon
7,Hydrogen Acceptor Count,9,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,154.1 Å2,ChemAxon
10,Rotatable Bond Count,10,ChemAxon
11,Refractivity,222.42 m3·mol-1,ChemAxon
12,Polarizability,87.46 Å3,ChemAxon
13,Number of Rings,9,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
