,Property,Value,Source
0,Water Solubility,69.6 mg/mL,ALOGPS
1,logP,-0.04,ALOGPS
2,logS,-0.64,ALOGPS
3,Physiological Charge,0,ChemAxon
4,Hydrogen Acceptor Count,0,ChemAxon
5,Hydrogen Donor Count,0,ChemAxon
6,Polar Surface Area,55.28 Å2,ChemAxon
7,Rotatable Bond Count,0,ChemAxon
8,Refractivity,43.3 m3·mol-1,ChemAxon
9,Polarizability,10.95 Å3,ChemAxon
10,Number of Rings,0,ChemAxon
11,Bioavailability,1,ChemAxon
12,Rule of Five,No,ChemAxon
13,Ghose Filter,No,ChemAxon
14,Veber's Rule,No,ChemAxon
15,MDDR-like Rule,No,ChemAxon
