,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9637
1,Blood Brain Barrier,+,0.9469
2,Caco-2 permeable,-,0.5704
3,P-glycoprotein substrate,Non-substrate,0.8714
4,P-glycoprotein inhibitor I,Non-inhibitor,0.9763
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9843
6,Renal organic cation transporter,Non-inhibitor,0.9211
7,CYP450 2C9 substrate,Non-substrate,0.8069
8,CYP450 2D6 substrate,Non-substrate,0.7874
9,CYP450 3A4 substrate,Non-substrate,0.7495
10,CYP450 1A2 substrate,Non-inhibitor,0.7733
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7808
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9075
13,CYP450 2C19 inhibitor,Non-inhibitor,0.7995
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8562
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9204
16,Ames test,Non AMES toxic,0.5661
17,Carcinogenicity,Carcinogens,0.5146
18,Biodegradation,Not ready biodegradable,0.9213
19,Rat acute toxicity,"2.7612 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9774
21,hERG inhibition (predictor II),Non-inhibitor,0.9344
