,Property,Value,Source
0,Water Solubility,0.0127 mg/mL,ALOGPS
1,logP,2.59,ALOGPS
2,logP,2.92,ChemAxon
3,logS,-4.8,ALOGPS
4,pKa (Strongest Acidic),11.9,ChemAxon
5,pKa (Strongest Basic),-3,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,10,ChemAxon
8,Hydrogen Donor Count,5,ChemAxon
9,Polar Surface Area,224.45 Å2,ChemAxon
10,Rotatable Bond Count,13,ChemAxon
11,Refractivity,203.9 m3·mol-1,ChemAxon
12,Polarizability,82.15 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
