,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),12.5,7.4,30.0,16279780
1,EC 50 (nM),13.3,7.4,30.0,17552508
2,IC 50 (nM),0.6,,,8568827
3,IC 50 (nM),0.7,,,7562910
4,IC 50 (nM),0.82,,,8691451
5,IC 50 (nM),1.0,,,18205293
6,IC 50 (nM),1.2,,,6403710 / 8568827
7,IC 50 (nM),1.7,,,4009615
8,IC 50 (nM),11.2,,,8035423
9,IC 50 (nM),13.8,,,11052789
10,IC 50 (nM),14.5,,,11052789
11,IC 50 (nM),2.0,,,11052790
12,IC 50 (nM),2.7,,,1578484 / 3091832
13,IC 50 (nM),20.0,,,2918496 / 17569517 / 18800768 / 22739090
14,IC 50 (nM),20.0,7.4,30.0,18072727 / 19719239
15,IC 50 (nM),22.0,,,10956221 / 11052789 / 11960504 / 12408727 / 12570380 / 15615538 / 16078850 / 18605720 / 20056546 / 20092323 / 21550809
16,IC 50 (nM),22.0,7.4,30.0,16279780 / 17552508
17,IC 50 (nM),24.0,,,1992122 / 1995880
18,IC 50 (nM),24.3,7.0,30.0,15561838
19,IC 50 (nM),25.0,,,1992118
20,IC 50 (nM),26.0,,,7365749
21,IC 50 (nM),3.3,,,6585550
22,IC 50 (nM),3.8,,,3339615
23,IC 50 (nM),3.9,,,1992121
24,IC 50 (nM),30.0,,,2296020
25,IC 50 (nM),32.94,,,18555562
26,IC 50 (nM),35.0,,,17127067
27,IC 50 (nM),38.0,,,8691474
28,IC 50 (nM),4.0,,,8164259
29,IC 50 (nM),4.3,,,2704031 / 2738891
30,IC 50 (nM),40.0,,,7562910
31,IC 50 (nM),44.0,,,11052789
32,IC 50 (nM),6.0,,,11052789
33,IC 50 (nM),66.0,,,11384244
34,IC 50 (nM),7.9,,,6772788
35,IC 50 (nM),720.0,,,8568828
36,IC 50 (nM),80.0,,,20350811
37,IC 50 (nM),9.0,,,15615522 / 17127067
38,IC 50 (nM),9.6,,,6772788
39,Ki (nM),0.0,,,7877140 / 22946585
40,Ki (nM),0.00519,,,9857098
41,Ki (nM),0.038,,,10360757
42,Ki (nM),0.11,,,7877140
43,Ki (nM),0.179,,,10360757
44,Ki (nM),4420.0,,,17532099
