,Property,Value,Source
0,Water Solubility,0.00477 mg/mL,ALOGPS
1,logP,5.66,ALOGPS
2,logP,5.01,ChemAxon
3,logS,-4.8,ALOGPS
4,pKa (Strongest Acidic),4.76,ChemAxon
5,Physiological Charge,-1,ChemAxon
6,Hydrogen Acceptor Count,2,ChemAxon
7,Hydrogen Donor Count,1,ChemAxon
8,Polar Surface Area,37.3 Å2,ChemAxon
9,Rotatable Bond Count,5,ChemAxon
10,Refractivity,97.79 m3·mol-1,ChemAxon
11,Polarizability,36.85 Å3,ChemAxon
12,Number of Rings,1,ChemAxon
13,Bioavailability,1,ChemAxon
14,Rule of Five,No,ChemAxon
15,Ghose Filter,Yes,ChemAxon
16,Veber's Rule,Yes,ChemAxon
17,MDDR-like Rule,No,ChemAxon
