,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9925
1,Blood Brain Barrier,+,0.9311
2,Caco-2 permeable,+,0.7603
3,P-glycoprotein substrate,Non-substrate,0.6144
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8912
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8088
6,Renal organic cation transporter,Non-inhibitor,0.8639
7,CYP450 2C9 substrate,Non-substrate,0.8221
8,CYP450 2D6 substrate,Non-substrate,0.9115
9,CYP450 3A4 substrate,Substrate,0.6025
10,CYP450 1A2 substrate,Non-inhibitor,0.9046
11,CYP450 2C9 inhibitor,Non-inhibitor,0.8831
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9231
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9025
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9301
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9252
16,Ames test,Non AMES toxic,0.8944
17,Carcinogenicity,Non-carcinogens,0.7081
18,Biodegradation,Ready biodegradable,0.5554
19,Rat acute toxicity,"2.1455 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9562
21,hERG inhibition (predictor II),Non-inhibitor,0.9538
