,Target,Actions,Organism
0,ARetinoic acid receptor RXR-beta,agonist,Humans
1,ARetinoic acid receptor RXR-gamma,agonist,Humans
2,ARetinoic acid receptor gamma,agonist,Humans
3,URetinal dehydrogenase 1,Not Available,Humans
4,URetinoic acid-induced protein 3,Not Available,Humans
5,URetinal dehydrogenase 2,Not Available,Humans
6,URetinoic acid receptor responder protein 1,agonist,Humans
7,URetinoic acid receptor alpha,Not Available,Humans
8,URetinoic acid receptor beta,Not Available,Humans
9,ULipocalin-1,Not Available,Humans
10,UOdorant-binding protein 2a,Not Available,Humans
11,URetinol-binding protein 4,Not Available,Humans
12,"U[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 4, mitochondrial",Not Available,Humans
13,URetinoic acid receptor RXR-alpha,Not Available,Humans
14,UCytochrome P450 26A1,Not Available,Humans
15,UCytochrome P450 26B1,Not Available,Humans
16,UCytochrome P450 26C1,Not Available,Humans
17,UHematopoietic prostaglandin D synthase,Not Available,Humans
