,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9961
1,Blood Brain Barrier,+,0.9759
2,Caco-2 permeable,+,0.5934
3,P-glycoprotein substrate,Substrate,0.693
4,P-glycoprotein inhibitor I,Inhibitor,0.7361
5,P-glycoprotein inhibitor II,Inhibitor,0.923
6,Renal organic cation transporter,Inhibitor,0.5543
7,CYP450 2C9 substrate,Non-substrate,0.7853
8,CYP450 2D6 substrate,Non-substrate,0.6447
9,CYP450 3A4 substrate,Substrate,0.6354
10,CYP450 1A2 substrate,Inhibitor,0.7516
11,CYP450 2C9 inhibitor,Non-inhibitor,0.6272
12,CYP450 2D6 inhibitor,Non-inhibitor,0.6536
13,CYP450 2C19 inhibitor,Inhibitor,0.644
14,CYP450 3A4 inhibitor,Inhibitor,0.8206
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.9309
16,Ames test,Non AMES toxic,0.5
17,Carcinogenicity,Non-carcinogens,0.9218
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.5141 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Strong inhibitor,0.758
21,hERG inhibition (predictor II),Inhibitor,0.8019
