,Property,Value,Source
0,Water Solubility,0.000212 mg/mL,ALOGPS
1,logP,7.77,ALOGPS
2,logP,8.06,ChemAxon
3,logS,-6.7,ALOGPS
4,pKa (Strongest Acidic),4.23,ChemAxon
5,pKa (Strongest Basic),8.29,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,10,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,128.36 Å2,ChemAxon
10,Rotatable Bond Count,16,ChemAxon
11,Refractivity,256.36 m3·mol-1,ChemAxon
12,Polarizability,99.45 Å3,ChemAxon
13,Number of Rings,7,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
