,Property,Value,Probability
0,Human Intestinal Absorption,+,0.8458
1,Blood Brain Barrier,+,0.9861
2,Caco-2 permeable,-,0.8957
3,P-glycoprotein substrate,Non-substrate,0.6928
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8741
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9317
6,Renal organic cation transporter,Non-inhibitor,0.9169
7,CYP450 2C9 substrate,Non-substrate,0.8437
8,CYP450 2D6 substrate,Non-substrate,0.8345
9,CYP450 3A4 substrate,Non-substrate,0.6536
10,CYP450 1A2 substrate,Non-inhibitor,0.824
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9084
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9204
13,CYP450 2C19 inhibitor,Non-inhibitor,0.88
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9347
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9336
16,Ames test,AMES toxic,0.7891
17,Carcinogenicity,Non-carcinogens,0.7278
18,Biodegradation,Not ready biodegradable,0.8297
19,Rat acute toxicity,"1.9954 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9603
21,hERG inhibition (predictor II),Non-inhibitor,0.8674
