,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),100.0,,,19084395
1,IC 50 (nM),11.0,,,20472442
2,IC 50 (nM),110.0,,,22932316
3,IC 50 (nM),119.0,,,20143840 / 21634430
4,IC 50 (nM),120.0,,,19181524 / 20491440 / 21745740
5,IC 50 (nM),121.0,,,20451378
6,IC 50 (nM),125.0,,,17095213 / 17107790
7,IC 50 (nM),140.0,,,19007204 / 19699639
8,IC 50 (nM),170.0,,,20637529
9,IC 50 (nM),180.0,,,22738629
10,IC 50 (nM),196.0,,,
11,IC 50 (nM),20.0,,,17691763 / 19301902
12,IC 50 (nM),200.0,,,15189037 / 18247554 / 19966789
13,IC 50 (nM),21.0,,,18247554 / 21080629 / 23570542
14,IC 50 (nM),22.37,,,21548582
15,IC 50 (nM),2200.0,,,20451378
16,IC 50 (nM),258.0,,,
17,IC 50 (nM),27.0,,,16987657 / 19457659
18,IC 50 (nM),270.0,,,23116147
19,IC 50 (nM),29.0,,,22771007
20,IC 50 (nM),290.0,,,21875796
21,IC 50 (nM),30.0,,,18060775 / 18809328 / 19441846 / 21080647 / 22280363
22,IC 50 (nM),30.0,8.0,37.0,18308563 / 18370373
23,IC 50 (nM),320.0,,,23252603
24,IC 50 (nM),33.0,,,18558669
25,IC 50 (nM),34.0,,,22771007
26,IC 50 (nM),350.0,,,19419205
27,IC 50 (nM),38.0,,,22260166 / 23547652
28,IC 50 (nM),4.0,,,23368884
29,IC 50 (nM),41.0,,,
30,IC 50 (nM),44.0,,,21924799
31,IC 50 (nM),48.0,,,17507219
32,IC 50 (nM),480.0,,,14698179
33,IC 50 (nM),600.0,,,19084395
34,IC 50 (nM),61.0,,,21417297
35,IC 50 (nM),62.9,,,21712146
36,IC 50 (nM),65.0,8.0,37.0,19093884
37,IC 50 (nM),68.0,7.5,25.0,18494463
38,IC 50 (nM),68.1,,,18672316
39,IC 50 (nM),69.0,,,
40,IC 50 (nM),75.6,,,23581848
41,IC 50 (nM),76.0,,,20947351 /
42,IC 50 (nM),77.0,,,21742496
43,IC 50 (nM),775.0,8.0,37.0,17958342
44,IC 50 (nM),8.9,,,22439863
45,IC 50 (nM),9.7,,,21721525
46,IC 50 (nM),96.0,,,18642892 / 19419863 / 20055418 / 21889343 / 23089527
47,Kd (nM),40.0,,,22182579
48,Ki (nM),48.0,7.4,22.0,18412327
49,Ki (nM),60.0,,,21634430
50,Ki (nM),63.0,,,20451378
