,Property,Value,Source
0,Water Solubility,0.0818 mg/mL,ALOGPS
1,logP,3.11,ALOGPS
2,logP,2.57,ChemAxon
3,logS,-3.8,ALOGPS
4,pKa (Strongest Acidic),7.21,ChemAxon
5,pKa (Strongest Basic),-2.9,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,6,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,107.89 Å2,ChemAxon
10,Rotatable Bond Count,8,ChemAxon
11,Refractivity,116.29 m3·mol-1,ChemAxon
12,Polarizability,46.34 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
