,Property,Value,Source
0,Water Solubility,0.00235 mg/mL,ALOGPS
1,logP,4.39,ALOGPS
2,logP,7.13,ChemAxon
3,logS,-5.6,ALOGPS
4,pKa (Strongest Acidic),9.96,ChemAxon
5,pKa (Strongest Basic),-2.9,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,14,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,241.96 Å2,ChemAxon
10,Rotatable Bond Count,11,ChemAxon
11,Refractivity,277.07 m3·mol-1,ChemAxon
12,Polarizability,112.71 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
