,Property,Value,Probability
0,Human Intestinal Absorption,-,0.8908
1,Blood Brain Barrier,-,0.9494
2,Caco-2 permeable,-,0.664
3,P-glycoprotein substrate,Substrate,0.8122
4,P-glycoprotein inhibitor I,Inhibitor,0.8098
5,P-glycoprotein inhibitor II,Inhibitor,0.7467
6,Renal organic cation transporter,Non-inhibitor,0.7636
7,CYP450 2C9 substrate,Non-substrate,0.8699
8,CYP450 2D6 substrate,Non-substrate,0.8845
9,CYP450 3A4 substrate,Substrate,0.7533
10,CYP450 1A2 substrate,Non-inhibitor,0.9126
11,CYP450 2C9 inhibitor,Non-inhibitor,0.8957
12,CYP450 2D6 inhibitor,Non-inhibitor,0.942
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9155
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9558
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9398
16,Ames test,Non AMES toxic,0.6087
17,Carcinogenicity,Non-carcinogens,0.9367
18,Biodegradation,Not ready biodegradable,0.9522
19,Rat acute toxicity,"2.8760 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9703
21,hERG inhibition (predictor II),Non-inhibitor,0.7479
