,Property,Value,Source
0,Water Solubility,0.275 mg/mL,ALOGPS
1,logP,1.1,ALOGPS
2,logP,0.18,ChemAxon
3,logS,-3,ALOGPS
4,pKa (Strongest Acidic),9.21,ChemAxon
5,pKa (Strongest Basic),8.97,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,3,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,83.8 Å2,ChemAxon
10,Rotatable Bond Count,2,ChemAxon
11,Refractivity,68.62 m3·mol-1,ChemAxon
12,Polarizability,26.31 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
