,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.9597
2,Caco-2 permeable,-,0.6466
3,P-glycoprotein substrate,Substrate,0.7841
4,P-glycoprotein inhibitor I,Non-inhibitor,0.9381
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8982
6,Renal organic cation transporter,Non-inhibitor,0.7994
7,CYP450 2C9 substrate,Non-substrate,0.8283
8,CYP450 2D6 substrate,Non-substrate,0.7684
9,CYP450 3A4 substrate,Non-substrate,0.5438
10,CYP450 1A2 substrate,Inhibitor,0.5173
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7135
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8155
13,CYP450 2C19 inhibitor,Non-inhibitor,0.652
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8474
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8153
16,Ames test,Non AMES toxic,0.7068
17,Carcinogenicity,Non-carcinogens,0.9098
18,Biodegradation,Not ready biodegradable,0.9874
19,Rat acute toxicity,"2.4847 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9961
21,hERG inhibition (predictor II),Non-inhibitor,0.5162
