,Property,Value,Source
0,Water Solubility,0.0095 mg/mL,ALOGPS
1,logP,4.87,ALOGPS
2,logP,4.09,ChemAxon
3,logS,-4.8,ALOGPS
4,pKa (Strongest Acidic),15.48,ChemAxon
5,pKa (Strongest Basic),8.43,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,8,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,82.88 Å2,ChemAxon
10,Rotatable Bond Count,9,ChemAxon
11,Refractivity,142.12 m3·mol-1,ChemAxon
12,Polarizability,56.14 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
