,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9823
1,Blood Brain Barrier,+,0.9272
2,Caco-2 permeable,+,0.6542
3,P-glycoprotein substrate,Substrate,0.7601
4,P-glycoprotein inhibitor I,Inhibitor,0.8409
5,P-glycoprotein inhibitor II,Inhibitor,0.9108
6,Renal organic cation transporter,Inhibitor,0.5663
7,CYP450 2C9 substrate,Non-substrate,0.854
8,CYP450 2D6 substrate,Non-substrate,0.6953
9,CYP450 3A4 substrate,Substrate,0.6987
10,CYP450 1A2 substrate,Inhibitor,0.5606
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7372
12,CYP450 2D6 inhibitor,Non-inhibitor,0.5136
13,CYP450 2C19 inhibitor,Non-inhibitor,0.5725
14,CYP450 3A4 inhibitor,Inhibitor,0.5
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.7021
16,Ames test,AMES toxic,0.5922
17,Carcinogenicity,Non-carcinogens,0.8869
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.4201 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Strong inhibitor,0.6147
21,hERG inhibition (predictor II),Inhibitor,0.7754
