,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),0.5,,,19039322
1,IC 50 (nM),1.1,,,16220969 / 20166671
2,IC 50 (nM),20.0,,,16970400
3,Kd (nM),0.028999999999999998,,,22037378
4,Kd (nM),0.036000000000000004,,,22037378
5,Kd (nM),0.037000000000000005,,,22037378
6,Kd (nM),0.039,,,22037378
7,Kd (nM),0.047,,,22037378
8,Kd (nM),0.057,,,22037378
9,Kd (nM),0.062,,,22037378
10,Kd (nM),0.086,,,22037378
11,Kd (nM),0.11,,,22037378
12,Kd (nM),0.12,,,22037378
13,Kd (nM),0.18,,,22037378
14,Kd (nM),0.63,,,22037378
15,Kd (nM),21.0,,,22037378
16,Kd (nM),3.6,,,22037378
