,Target,Actions,Organism
0,ABreakpoint cluster region protein,inhibitor,Humans
1,ATyrosine-protein kinase ABL1,inhibitor,Humans
2,UTyrosine-protein kinase Lyn,Not Available,Humans
3,UTyrosine-protein kinase HCK,inhibitor,Humans
4,UProto-oncogene tyrosine-protein kinase Src,inhibitor,Humans
5,UCyclin-dependent kinase 2,inhibitor,Humans
6,UDual specificity mitogen-activated protein kinase kinase 1,inhibitor,Humans
7,UDual specificity mitogen-activated protein kinase kinase 2,inhibitor,Humans
8,UMitogen-activated protein kinase kinase kinase 2,inhibitor,Humans
9,UCalcium/calmodulin-dependent protein kinase type II subunit gamma,inhibitor,Humans
