,Property,Value,Source
0,Water Solubility,0.00715 mg/mL,ALOGPS
1,logP,2.53,ALOGPS
2,logP,1.52,ChemAxon
3,logS,-4.9,ALOGPS
4,pKa (Strongest Acidic),-2.9,ChemAxon
5,pKa (Strongest Basic),11.59,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,11,ChemAxon
8,Hydrogen Donor Count,5,ChemAxon
9,Polar Surface Area,170.76 Å2,ChemAxon
10,Rotatable Bond Count,7,ChemAxon
11,Refractivity,175.25 m3·mol-1,ChemAxon
12,Polarizability,61.3 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
