,Property,Value,Source
0,Water Solubility,0.00282 mg/mL,ALOGPS
1,logP,2.34,ALOGPS
2,logP,2.81,ChemAxon
3,logS,-5.2,ALOGPS
4,pKa (Strongest Acidic),10.45,ChemAxon
5,pKa (Strongest Basic),-2.7,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,2,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,64.68 Å2,ChemAxon
10,Rotatable Bond Count,6,ChemAxon
11,Refractivity,115.48 m3·mol-1,ChemAxon
12,Polarizability,41.34 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
