,Property,Value,Probability
0,Human Intestinal Absorption,+,0.7792
1,Blood Brain Barrier,+,0.9556
2,Caco-2 permeable,-,0.5273
3,P-glycoprotein substrate,Non-substrate,0.8186
4,P-glycoprotein inhibitor I,Non-inhibitor,0.6672
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9597
6,Renal organic cation transporter,Non-inhibitor,0.9014
7,CYP450 2C9 substrate,Non-substrate,0.6508
8,CYP450 2D6 substrate,Non-substrate,0.8242
9,CYP450 3A4 substrate,Non-substrate,0.5524
10,CYP450 1A2 substrate,Non-inhibitor,0.6271
11,CYP450 2C9 inhibitor,Non-inhibitor,0.601
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9158
13,CYP450 2C19 inhibitor,Non-inhibitor,0.6511
14,CYP450 3A4 inhibitor,Non-inhibitor,0.5964
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.6067
16,Ames test,Non AMES toxic,0.6926
17,Carcinogenicity,Non-carcinogens,0.5242
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.3817 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9753
21,hERG inhibition (predictor II),Non-inhibitor,0.7308
