,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.8717
2,Caco-2 permeable,-,0.5342
3,P-glycoprotein substrate,Substrate,0.744
4,P-glycoprotein inhibitor I,Inhibitor,0.6776
5,P-glycoprotein inhibitor II,Inhibitor,0.9036
6,Renal organic cation transporter,Non-inhibitor,0.7154
7,CYP450 2C9 substrate,Non-substrate,0.7919
8,CYP450 2D6 substrate,Non-substrate,0.8034
9,CYP450 3A4 substrate,Substrate,0.7504
10,CYP450 1A2 substrate,Non-inhibitor,0.5236
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7294
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7625
13,CYP450 2C19 inhibitor,Non-inhibitor,0.5877
14,CYP450 3A4 inhibitor,Non-inhibitor,0.6486
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.7096
16,Ames test,Non AMES toxic,0.5695
17,Carcinogenicity,Non-carcinogens,0.8692
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.5643 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.8956
21,hERG inhibition (predictor II),Inhibitor,0.7228
