,Property,Value,Source
0,Water Solubility,0.00173 mg/mL,ALOGPS
1,logP,4.22,ALOGPS
2,logP,3.93,ChemAxon
3,logS,-5.4,ALOGPS
4,pKa (Strongest Acidic),10.27,ChemAxon
5,pKa (Strongest Basic),3.7,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,76.13 Å2,ChemAxon
10,Rotatable Bond Count,4,ChemAxon
11,Refractivity,107.81 m3·mol-1,ChemAxon
12,Polarizability,39.49 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
