,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9547
1,Blood Brain Barrier,+,0.9387
2,Caco-2 permeable,+,0.6048
3,P-glycoprotein substrate,Non-substrate,0.8443
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8663
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9558
6,Renal organic cation transporter,Non-inhibitor,0.8925
7,CYP450 2C9 substrate,Non-substrate,0.6009
8,CYP450 2D6 substrate,Non-substrate,0.63
9,CYP450 3A4 substrate,Non-substrate,0.5083
10,CYP450 1A2 substrate,Non-inhibitor,0.6067
11,CYP450 2C9 inhibitor,Inhibitor,0.9078
12,CYP450 2D6 inhibitor,Non-inhibitor,0.6638
13,CYP450 2C19 inhibitor,Inhibitor,0.8515
14,CYP450 3A4 inhibitor,Inhibitor,0.8452
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.9282
16,Ames test,Non AMES toxic,0.8271
17,Carcinogenicity,Non-carcinogens,0.6746
18,Biodegradation,Not ready biodegradable,0.9956
19,Rat acute toxicity,"2.0840 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9973
21,hERG inhibition (predictor II),Non-inhibitor,0.8224
