,Property,Value,Source
0,Water Solubility,0.00422 mg/mL,ALOGPS
1,logP,3.59,ALOGPS
2,logP,2.98,ChemAxon
3,logS,-5,ALOGPS
4,pKa (Strongest Acidic),8.87,ChemAxon
5,pKa (Strongest Basic),0.75,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,91.92 Å2,ChemAxon
10,Rotatable Bond Count,5,ChemAxon
11,Refractivity,96.83 m3·mol-1,ChemAxon
12,Polarizability,38.38 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
