,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.7446
2,Caco-2 permeable,-,0.6212
3,P-glycoprotein substrate,Non-substrate,0.6106
4,P-glycoprotein inhibitor I,Non-inhibitor,0.6216
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8019
6,Renal organic cation transporter,Non-inhibitor,0.843
7,CYP450 2C9 substrate,Non-substrate,0.7671
8,CYP450 2D6 substrate,Non-substrate,0.8141
9,CYP450 3A4 substrate,Substrate,0.5493
10,CYP450 1A2 substrate,Inhibitor,0.5638
11,CYP450 2C9 inhibitor,Inhibitor,0.5789
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7384
13,CYP450 2C19 inhibitor,Inhibitor,0.6462
14,CYP450 3A4 inhibitor,Inhibitor,0.6589
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.9423
16,Ames test,Non AMES toxic,0.6404
17,Carcinogenicity,Non-carcinogens,0.771
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.5198 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.5504
21,hERG inhibition (predictor II),Non-inhibitor,0.5934
