,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.8737
2,Caco-2 permeable,-,0.532
3,P-glycoprotein substrate,Substrate,0.8156
4,P-glycoprotein inhibitor I,Inhibitor,0.8206
5,P-glycoprotein inhibitor II,Inhibitor,0.8018
6,Renal organic cation transporter,Non-inhibitor,0.6952
7,CYP450 2C9 substrate,Non-substrate,0.7781
8,CYP450 2D6 substrate,Non-substrate,0.7492
9,CYP450 3A4 substrate,Substrate,0.7602
10,CYP450 1A2 substrate,Non-inhibitor,0.8708
11,CYP450 2C9 inhibitor,Inhibitor,0.5409
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8707
13,CYP450 2C19 inhibitor,Non-inhibitor,0.7406
14,CYP450 3A4 inhibitor,Inhibitor,0.5858
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.6253
16,Ames test,Non AMES toxic,0.5569
17,Carcinogenicity,Non-carcinogens,0.7383
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.6340 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Strong inhibitor,0.51
21,hERG inhibition (predictor II),Inhibitor,0.7139
