,Property,Value,Source
0,Water Solubility,0.0532 mg/mL,ALOGPS
1,logP,0.89,ALOGPS
2,logP,1.53,ChemAxon
3,logS,-3.9,ALOGPS
4,pKa (Strongest Acidic),13.04,ChemAxon
5,pKa (Strongest Basic),-0.7,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,6,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,124.44 Å2,ChemAxon
10,Rotatable Bond Count,9,ChemAxon
11,Refractivity,99.37 m3·mol-1,ChemAxon
12,Polarizability,40.48 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
