,Property,Value,Source
0,Water Solubility,0.0174 mg/mL,ALOGPS
1,logP,2.12,ALOGPS
2,logP,2.77,ChemAxon
3,logS,-4.4,ALOGPS
4,pKa (Strongest Acidic),11.34,ChemAxon
5,pKa (Strongest Basic),8.86,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,8,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,103.35 Å2,ChemAxon
10,Rotatable Bond Count,5,ChemAxon
11,Refractivity,127.47 m3·mol-1,ChemAxon
12,Polarizability,49.69 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
