,Property,Value,Source
0,Water Solubility,0.00563 mg/mL,ALOGPS
1,logP,4.65,ALOGPS
2,logP,5.65,ChemAxon
3,logS,-4.9,ALOGPS
4,pKa (Strongest Basic),4.07,ChemAxon
5,Physiological Charge,0,ChemAxon
6,Hydrogen Acceptor Count,4,ChemAxon
7,Hydrogen Donor Count,0,ChemAxon
8,Polar Surface Area,73.12 Å2,ChemAxon
9,Rotatable Bond Count,3,ChemAxon
10,Refractivity,138.35 m3·mol-1,ChemAxon
11,Polarizability,51.35 Å3,ChemAxon
12,Number of Rings,6,ChemAxon
13,Bioavailability,1,ChemAxon
14,Rule of Five,No,ChemAxon
15,Ghose Filter,No,ChemAxon
16,Veber's Rule,No,ChemAxon
17,MDDR-like Rule,No,ChemAxon
