,Property,Value,Source
0,Water Solubility,0.0661 mg/mL,ALOGPS
1,logP,2.24,ALOGPS
2,logP,2.46,ChemAxon
3,logS,-3.9,ALOGPS
4,pKa (Strongest Acidic),13.19,ChemAxon
5,pKa (Strongest Basic),6.26,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,8,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,107.55 Å2,ChemAxon
10,Rotatable Bond Count,4,ChemAxon
11,Refractivity,147.18 m3·mol-1,ChemAxon
12,Polarizability,54.31 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
