,Property,Value,Source
0,Water Solubility,0.241 mg/mL,ALOGPS
1,logP,2.87,ALOGPS
2,logP,3.53,ChemAxon
3,logS,-3.3,ALOGPS
4,pKa (Strongest Acidic),14.59,ChemAxon
5,pKa (Strongest Basic),2,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,9,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,93.07 Å2,ChemAxon
10,Rotatable Bond Count,5,ChemAxon
11,Refractivity,132.36 m3·mol-1,ChemAxon
12,Polarizability,51.7 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
