,Property,Value,Source
0,Water Solubility,0.0313 mg/mL,ALOGPS
1,logP,2.64,ALOGPS
2,logP,3.98,ChemAxon
3,logS,-4.2,ALOGPS
4,pKa (Strongest Acidic),11.88,ChemAxon
5,pKa (Strongest Basic),-3,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,90.82 Å2,ChemAxon
10,Rotatable Bond Count,7,ChemAxon
11,Refractivity,96.14 m3·mol-1,ChemAxon
12,Polarizability,37.56 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
