,Property,Value,Probability
0,Human Intestinal Absorption,-,0.5
1,Blood Brain Barrier,+,0.8392
2,Caco-2 permeable,-,0.6
3,P-glycoprotein substrate,Non-substrate,0.64
4,P-glycoprotein inhibitor I,Inhibitor,0.5271
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9147
6,Renal organic cation transporter,Non-inhibitor,0.9092
7,CYP450 2C9 substrate,Non-substrate,0.817
8,CYP450 2D6 substrate,Non-substrate,0.8187
9,CYP450 3A4 substrate,Non-substrate,0.5428
10,CYP450 1A2 substrate,Non-inhibitor,0.6109
11,CYP450 2C9 inhibitor,Non-inhibitor,0.6785
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8311
13,CYP450 2C19 inhibitor,Non-inhibitor,0.6555
14,CYP450 3A4 inhibitor,Inhibitor,0.5929
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.6663
16,Ames test,Non AMES toxic,0.5413
17,Carcinogenicity,Non-carcinogens,0.6816
18,Biodegradation,Not ready biodegradable,0.9951
19,Rat acute toxicity,"2.4033 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9907
21,hERG inhibition (predictor II),Non-inhibitor,0.5746
