,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,-,0.5569
2,Caco-2 permeable,-,0.5933
3,P-glycoprotein substrate,Substrate,0.8191
4,P-glycoprotein inhibitor I,Non-inhibitor,0.7527
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8302
6,Renal organic cation transporter,Non-inhibitor,0.7794
7,CYP450 2C9 substrate,Non-substrate,0.8193
8,CYP450 2D6 substrate,Non-substrate,0.788
9,CYP450 3A4 substrate,Non-substrate,0.5703
10,CYP450 1A2 substrate,Inhibitor,0.9106
11,CYP450 2C9 inhibitor,Inhibitor,0.8948
12,CYP450 2D6 inhibitor,Inhibitor,0.8932
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9025
14,CYP450 3A4 inhibitor,Inhibitor,0.5687
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8394
16,Ames test,Non AMES toxic,0.6143
17,Carcinogenicity,Non-carcinogens,0.8402
18,Biodegradation,Not ready biodegradable,0.9862
19,Rat acute toxicity,"2.6040 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.8367
21,hERG inhibition (predictor II),Non-inhibitor,0.55
