,Property,Value,Source
0,Water Solubility,0.00292 mg/mL,ALOGPS
1,logP,4.75,ALOGPS
2,logP,3.78,ChemAxon
3,logS,-5,ALOGPS
4,pKa (Strongest Acidic),17.16,ChemAxon
5,pKa (Strongest Basic),8,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,3,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,52.74 Å2,ChemAxon
10,Rotatable Bond Count,6,ChemAxon
11,Refractivity,103.04 m3·mol-1,ChemAxon
12,Polarizability,37.82 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
