,Property,Value,Source
0,Water Solubility,0.104 mg/mL,ALOGPS
1,logP,3.61,ALOGPS
2,logP,3.49,ChemAxon
3,logS,-3.5,ALOGPS
4,pKa (Strongest Acidic),9.21,ChemAxon
5,pKa (Strongest Basic),3.07,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,87.6 Å2,ChemAxon
10,Rotatable Bond Count,3,ChemAxon
11,Refractivity,99.05 m3·mol-1,ChemAxon
12,Polarizability,37.26 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
