,Target,Actions,Organism
0,AEstrogen receptor alpha,antagonistagonist,Humans
1,AEstrogen receptor beta,antagonistagonist,Humans
2,"U3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",inhibitor,Humans
3,AProtein kinase C,inhibitor,Humans
4,UAndrogen receptor,Not Available,Humans
5,UPotassium voltage-gated channel subfamily H member 2,inhibitor,Humans
6,UNuclear receptor subfamily 1 group I member 2,Not Available,Humans
7,UEstrogen-related receptor gamma,Not Available,Humans
8,ASex hormone-binding globulin,inducer,Humans
9,UMitogen-activated protein kinase 8,modulator,Humans
