,Property,Value,Source
0,Water Solubility,0.0223 mg/mL,ALOGPS
1,logP,5.18,ALOGPS
2,logP,4.64,ChemAxon
3,logS,-4.4,ALOGPS
4,pKa (Strongest Acidic),15.99,ChemAxon
5,pKa (Strongest Basic),7.2,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,7,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,106.35 Å2,ChemAxon
10,Rotatable Bond Count,11,ChemAxon
11,Refractivity,152.42 m3·mol-1,ChemAxon
12,Polarizability,61.19 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
