,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.6201
2,Caco-2 permeable,-,0.5858
3,P-glycoprotein substrate,Substrate,0.7403
4,P-glycoprotein inhibitor I,Inhibitor,0.5414
5,P-glycoprotein inhibitor II,Non-inhibitor,0.7799
6,Renal organic cation transporter,Non-inhibitor,0.7442
7,CYP450 2C9 substrate,Non-substrate,0.6688
8,CYP450 2D6 substrate,Non-substrate,0.7644
9,CYP450 3A4 substrate,Substrate,0.6619
10,CYP450 1A2 substrate,Inhibitor,0.5386
11,CYP450 2C9 inhibitor,Non-inhibitor,0.5544
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7861
13,CYP450 2C19 inhibitor,Inhibitor,0.5274
14,CYP450 3A4 inhibitor,Inhibitor,0.8065
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.9104
16,Ames test,Non AMES toxic,0.543
17,Carcinogenicity,Non-carcinogens,0.6788
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.5867 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Strong inhibitor,0.537
21,hERG inhibition (predictor II),Inhibitor,0.8417
