,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),10,,,16483772 / 20166671 / 22101132
1,IC 50 (nM),10,7.5,23.0,14684309
2,IC 50 (nM),11.2,,,20143778
3,IC 50 (nM),12,,,16777410
4,IC 50 (nM),17,,,19170633
5,IC 50 (nM),2.9,,,21080629
6,IC 50 (nM),433,,,20817523
7,IC 50 (nM),52,,,19888761 / 20346655
8,IC 50 (nM),52.2,,,22372864
9,IC 50 (nM),8,,,22227214
10,IC 50 (nM),8.9,,,22169601
11,IC 50 (nM),9,,,22182581 / 22595177
12,Kd (nM),>10000,,,22037378
13,Kd (nM),0.92,,,18183025 / 22037378
14,Kd (nM),1.2,,,18183025 / 22037378
15,Kd (nM),2.1,,,18183025 / 22037378
16,Kd (nM),2.2,,,18183025 / 22037378
17,Kd (nM),2.4,,,18183025 / 22037378
18,Kd (nM),2.8,,,18183025 / 22037378
19,Kd (nM),3.5,,,18183025 / 22037378
20,Kd (nM),3.9,,,18183025 / 22037378
21,Kd (nM),4.2,,,18183025 / 22037378
22,Kd (nM),5.5,,,15711537
23,Kd (nM),8.6,,,18183025 / 22037378
24,Kd (nM),860,,,22037378
