,Property,Value,Source
0,Water Solubility,0.00556 mg/mL,ALOGPS
1,logP,3.2,ALOGPS
2,logP,3.54,ChemAxon
3,logS,-5.2,ALOGPS
4,pKa (Strongest Acidic),10.36,ChemAxon
5,pKa (Strongest Basic),-1,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,10,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,221.29 Å2,ChemAxon
10,Rotatable Bond Count,14,ChemAxon
11,Refractivity,218.29 m3·mol-1,ChemAxon
12,Polarizability,87.17 Å3,ChemAxon
13,Number of Rings,7,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
