,Property,Value,Probability
0,Human Intestinal Absorption,+,0.914
1,Blood Brain Barrier,-,0.9748
2,Caco-2 permeable,-,0.8957
3,P-glycoprotein substrate,Substrate,0.8345
4,P-glycoprotein inhibitor I,Inhibitor,0.5509
5,P-glycoprotein inhibitor II,Non-inhibitor,0.7309
6,Renal organic cation transporter,Non-inhibitor,0.9349
7,CYP450 2C9 substrate,Non-substrate,0.837
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Substrate,0.7278
10,CYP450 1A2 substrate,Non-inhibitor,0.9045
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9071
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9231
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9025
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8309
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8937
16,Ames test,Non AMES toxic,0.9132
17,Carcinogenicity,Non-carcinogens,0.9158
18,Biodegradation,Not ready biodegradable,0.9491
19,Rat acute toxicity,"2.4391 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9978
21,hERG inhibition (predictor II),Non-inhibitor,0.7982
