,Property,Value,Source
0,Water Solubility,0.00342 mg/mL,ALOGPS
1,logP,3.82,ALOGPS
2,logP,3.16,ChemAxon
3,logS,-5.1,ALOGPS
4,pKa (Strongest Acidic),15.59,ChemAxon
5,pKa (Strongest Basic),4.84,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,3,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,62.3 Å2,ChemAxon
10,Rotatable Bond Count,8,ChemAxon
11,Refractivity,116.71 m3·mol-1,ChemAxon
12,Polarizability,45.6 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
