,Property,Value,Source
0,Water Solubility,0.101 mg/mL,ALOGPS
1,logP,2.93,ALOGPS
2,logP,2.11,ChemAxon
3,logS,-3.6,ALOGPS
4,pKa (Strongest Acidic),9.48,ChemAxon
5,pKa (Strongest Basic),1.66,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,84.2 Å2,ChemAxon
10,Rotatable Bond Count,2,ChemAxon
11,Refractivity,111.27 m3·mol-1,ChemAxon
12,Polarizability,35.82 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
