,Property,Value,Probability
0,Human Intestinal Absorption,-,0.8092
1,Blood Brain Barrier,-,0.9951
2,Caco-2 permeable,-,0.799
3,P-glycoprotein substrate,Substrate,0.7861
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8782
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8382
6,Renal organic cation transporter,Non-inhibitor,0.9053
7,CYP450 2C9 substrate,Non-substrate,0.8042
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Substrate,0.5888
10,CYP450 1A2 substrate,Non-inhibitor,0.9045
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9209
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9231
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9025
14,CYP450 3A4 inhibitor,Non-inhibitor,0.831
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8911
16,Ames test,AMES toxic,0.9198
17,Carcinogenicity,Non-carcinogens,0.9534
18,Biodegradation,Not ready biodegradable,0.9672
19,Rat acute toxicity,"2.6644 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9752
21,hERG inhibition (predictor II),Non-inhibitor,0.7195
