,Property,Value,Probability
0,Human Intestinal Absorption,+,0.836
1,Blood Brain Barrier,-,0.9609
2,Caco-2 permeable,-,0.5234
3,P-glycoprotein substrate,Substrate,0.7019
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8005
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8381
6,Renal organic cation transporter,Non-inhibitor,0.8412
7,CYP450 2C9 substrate,Non-substrate,0.8228
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Substrate,0.6134
10,CYP450 1A2 substrate,Non-inhibitor,0.9045
11,CYP450 2C9 inhibitor,Non-inhibitor,0.6884
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8392
13,CYP450 2C19 inhibitor,Non-inhibitor,0.529
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8309
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.5576
16,Ames test,Non AMES toxic,0.9132
17,Carcinogenicity,Non-carcinogens,0.9325
18,Biodegradation,Not ready biodegradable,0.9467
19,Rat acute toxicity,"2.9588 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9847
21,hERG inhibition (predictor II),Non-inhibitor,0.8734
