,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9814
1,Blood Brain Barrier,+,0.9693
2,Caco-2 permeable,-,0.8957
3,P-glycoprotein substrate,Non-substrate,0.8317
4,P-glycoprotein inhibitor I,Non-inhibitor,0.9557
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9106
6,Renal organic cation transporter,Non-inhibitor,0.939
7,CYP450 2C9 substrate,Non-substrate,0.8634
8,CYP450 2D6 substrate,Non-substrate,0.8484
9,CYP450 3A4 substrate,Non-substrate,0.6016
10,CYP450 1A2 substrate,Non-inhibitor,0.8958
11,CYP450 2C9 inhibitor,Non-inhibitor,0.8633
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8787
13,CYP450 2C19 inhibitor,Non-inhibitor,0.8478
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9032
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8862
16,Ames test,Non AMES toxic,0.6793
17,Carcinogenicity,Non-carcinogens,0.8286
18,Biodegradation,Not ready biodegradable,0.9948
19,Rat acute toxicity,"2.1220 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9948
21,hERG inhibition (predictor II),Non-inhibitor,0.8314
