,Property,Value,Source
0,Water Solubility,10.1 mg/mL,ALOGPS
1,logP,-0.55,ALOGPS
2,logP,-1,ChemAxon
3,logS,-1.5,ALOGPS
4,pKa (Strongest Acidic),14.97,ChemAxon
5,pKa (Strongest Basic),5.76,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,7,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,146.89 Å2,ChemAxon
10,Rotatable Bond Count,4,ChemAxon
11,Refractivity,83.27 m3·mol-1,ChemAxon
12,Polarizability,32.77 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
