,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9733
1,Blood Brain Barrier,+,0.8217
2,Caco-2 permeable,-,0.5193
3,P-glycoprotein substrate,Non-substrate,0.5945
4,P-glycoprotein inhibitor I,Non-inhibitor,0.6449
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8622
6,Renal organic cation transporter,Non-inhibitor,0.899
7,CYP450 2C9 substrate,Non-substrate,0.7215
8,CYP450 2D6 substrate,Non-substrate,0.8232
9,CYP450 3A4 substrate,Substrate,0.5735
10,CYP450 1A2 substrate,Non-inhibitor,0.8599
11,CYP450 2C9 inhibitor,Non-inhibitor,0.5775
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9521
13,CYP450 2C19 inhibitor,Non-inhibitor,0.8769
14,CYP450 3A4 inhibitor,Non-inhibitor,0.836
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9337
16,Ames test,AMES toxic,0.5498
17,Carcinogenicity,Non-carcinogens,0.8078
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.3412 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9539
21,hERG inhibition (predictor II),Non-inhibitor,0.6602
