,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9944
1,Blood Brain Barrier,+,0.7232
2,Caco-2 permeable,+,0.5069
3,P-glycoprotein substrate,Non-substrate,0.7965
4,P-glycoprotein inhibitor I,Non-inhibitor,0.6468
5,P-glycoprotein inhibitor II,Non-inhibitor,0.7039
6,Renal organic cation transporter,Non-inhibitor,0.8694
7,CYP450 2C9 substrate,Non-substrate,0.8233
8,CYP450 2D6 substrate,Non-substrate,0.7346
9,CYP450 3A4 substrate,Non-substrate,0.5834
10,CYP450 1A2 substrate,Inhibitor,0.5219
11,CYP450 2C9 inhibitor,Inhibitor,0.5
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8459
13,CYP450 2C19 inhibitor,Non-inhibitor,0.5
14,CYP450 3A4 inhibitor,Inhibitor,0.7531
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.8612
16,Ames test,Non AMES toxic,0.7078
17,Carcinogenicity,Non-carcinogens,0.8093
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.4329 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9848
21,hERG inhibition (predictor II),Non-inhibitor,0.7704
