,Property,Value,Source
0,Water Solubility,5.09 mg/mL,ALOGPS
1,logP,-1,ALOGPS
2,logP,-0.28,ChemAxon
3,logS,-1.6,ALOGPS
4,pKa (Strongest Acidic),10.51,ChemAxon
5,pKa (Strongest Basic),-3.6,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,105.94 Å2,ChemAxon
10,Rotatable Bond Count,1,ChemAxon
11,Refractivity,47.86 m3·mol-1,ChemAxon
12,Polarizability,16.88 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
