,Property,Value,Probability
0,Human Intestinal Absorption,-,0.8877
1,Blood Brain Barrier,-,0.9732
2,Caco-2 permeable,-,0.6551
3,P-glycoprotein substrate,Substrate,0.853
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8781
5,P-glycoprotein inhibitor II,Non-inhibitor,0.8454
6,Renal organic cation transporter,Non-inhibitor,0.9331
7,CYP450 2C9 substrate,Non-substrate,0.7773
8,CYP450 2D6 substrate,Non-substrate,0.7966
9,CYP450 3A4 substrate,Substrate,0.6154
10,CYP450 1A2 substrate,Non-inhibitor,0.7423
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7035
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8678
13,CYP450 2C19 inhibitor,Non-inhibitor,0.6794
14,CYP450 3A4 inhibitor,Non-inhibitor,0.67
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.8609
16,Ames test,AMES toxic,0.772
17,Carcinogenicity,Non-carcinogens,0.8957
18,Biodegradation,Not ready biodegradable,0.8863
19,Rat acute toxicity,"2.6132 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.991
21,hERG inhibition (predictor II),Inhibitor,0.6172
