,Property,Value,Source
0,Water Solubility,0.0122 mg/mL,ALOGPS
1,logP,4.39,ALOGPS
2,logP,4.65,ChemAxon
3,logS,-4.8,ALOGPS
4,pKa (Strongest Acidic),10.87,ChemAxon
5,pKa (Strongest Basic),8.66,ChemAxon
6,Physiological Charge,2,ChemAxon
7,Hydrogen Acceptor Count,8,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,133.87 Å2,ChemAxon
10,Rotatable Bond Count,10,ChemAxon
11,Refractivity,216.99 m3·mol-1,ChemAxon
12,Polarizability,84.31 Å3,ChemAxon
13,Number of Rings,9,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
