,Property,Value,Probability
0,Human Intestinal Absorption,+,0.974
1,Blood Brain Barrier,-,0.8815
2,Caco-2 permeable,+,0.5602
3,P-glycoprotein substrate,Substrate,0.9283
4,P-glycoprotein inhibitor I,Inhibitor,0.7488
5,P-glycoprotein inhibitor II,Inhibitor,0.7388
6,Renal organic cation transporter,Non-inhibitor,0.6979
7,CYP450 2C9 substrate,Non-substrate,0.8513
8,CYP450 2D6 substrate,Substrate,0.6471
9,CYP450 3A4 substrate,Substrate,0.7247
10,CYP450 1A2 substrate,Non-inhibitor,0.8415
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7863
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8369
13,CYP450 2C19 inhibitor,Non-inhibitor,0.8381
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8095
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.6672
16,Ames test,Non AMES toxic,0.8064
17,Carcinogenicity,Non-carcinogens,0.9299
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.8350 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9014
21,hERG inhibition (predictor II),Non-inhibitor,0.5171
