,Property,Value,Source
0,Water Solubility,0.29 mg/mL,ALOGPS
1,logP,2.73,ALOGPS
2,logP,1.87,ChemAxon
3,logS,-3.1,ALOGPS
4,pKa (Strongest Acidic),9.68,ChemAxon
5,pKa (Strongest Basic),3.91,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,99.96 Å2,ChemAxon
10,Rotatable Bond Count,2,ChemAxon
11,Refractivity,106.12 m3·mol-1,ChemAxon
12,Polarizability,41.43 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
