,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),>10000,,,18442912 / 22094279 / 22391033 / 23199477
1,EC 50 (nM),157,,,10230628
2,IC 50 (nM),>10,,,10230628
3,IC 50 (nM),>100000,,,23301637
4,IC 50 (nM),117,,,10230628
5,IC 50 (nM),12000,7.2,23.0,19645433
6,IC 50 (nM),128,7.4,37.0,17887661
7,IC 50 (nM),140,,,17064916 / 17804229
8,IC 50 (nM),157,,,9484511 / 9871534
9,IC 50 (nM),162,,,18400499 / 18442912
10,IC 50 (nM),162,7.4,37.0,17257838
11,IC 50 (nM),170,,,15546739
12,IC 50 (nM),173,,,15603938 / 15603960 / 18291644 / 20584610
13,IC 50 (nM),200,,,17064916 / 17804229 / 20381361 / 21050768
14,IC 50 (nM),232,,,18442912
15,IC 50 (nM),300,,,20826091
16,IC 50 (nM),330,,,22094279 / 22391033 / 23199477
17,IC 50 (nM),338,,,10743937
18,IC 50 (nM),400,,,15546739 / 15603938 / 15603960 / 20584610
19,IC 50 (nM),54,,,22094279 / 22391033 / 23199477
20,IC 50 (nM),550,,,20381361
21,IC 50 (nM),600,,,21050768
22,IC 50 (nM),725,,,15603938 / 15603960
23,IC 50 (nM),890,7.8,,16420057
24,Ki (nM),117,,,9484511 / 10743937
25,Ki (nM),151,,,18400499 / 18442912
26,Ki (nM),151,7.4,37.0,17257838
27,Ki (nM),35,,,15603938 / 15603960
28,Ki (nM),64,,,15603938 / 15603960 / 18291644 / 20584610
29,Ki (nM),65,,,15546739
30,Ki (nM),70,7.4,37.0,17887661
31,Ki (nM),82,,,9871534
