,Property,Value,Source
0,Water Solubility,0.136 mg/mL,ALOGPS
1,logP,2.18,ALOGPS
2,logP,1.42,ChemAxon
3,logS,-3.5,ALOGPS
4,pKa (Strongest Acidic),11.4,ChemAxon
5,pKa (Strongest Basic),7.15,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,7,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,132.36 Å2,ChemAxon
10,Rotatable Bond Count,6,ChemAxon
11,Refractivity,117.23 m3·mol-1,ChemAxon
12,Polarizability,46.22 Å3,ChemAxon
13,Number of Rings,5,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
