,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.9444
2,Caco-2 permeable,-,0.5985
3,P-glycoprotein substrate,Substrate,0.7205
4,P-glycoprotein inhibitor I,Inhibitor,0.8197
5,P-glycoprotein inhibitor II,Inhibitor,0.9125
6,Renal organic cation transporter,Inhibitor,0.5
7,CYP450 2C9 substrate,Non-substrate,0.8612
8,CYP450 2D6 substrate,Non-substrate,0.7047
9,CYP450 3A4 substrate,Substrate,0.7636
10,CYP450 1A2 substrate,Non-inhibitor,0.8592
11,CYP450 2C9 inhibitor,Non-inhibitor,0.6804
12,CYP450 2D6 inhibitor,Non-inhibitor,0.764
13,CYP450 2C19 inhibitor,Inhibitor,0.5563
14,CYP450 3A4 inhibitor,Non-inhibitor,0.5613
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.6686
16,Ames test,Non AMES toxic,0.5331
17,Carcinogenicity,Non-carcinogens,0.8254
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.8377 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.8253
21,hERG inhibition (predictor II),Inhibitor,0.7493
